lab_id,Transect angle
EE19_7279,0
EE19_7402,7
EE19_7428,0
EE19_7739,0
EE19_7850,0
EE19_80113,0
EE19_80115,0
EE19_7028,0
EE19_7144,0
EE19_80146,0
EE19_5197,0
EE19_9148,0
EE19_80149,0
EE19_80228,0
EE19_80161,0
EE19_80229,0
EE19_80362,0
EE19_80496,0
EE19_80535,0
EE19_5739,0
WR18_5032,9
WR18_5037,3
WR18_80300,8
WR18_5050,18
WR18_5098,0
WR18_5114,0
WR18_80202,0
WR18_5176,3
WR18_5185,0
WR18_5201,4
WR18_5209,0
WR18_5273,13
WR18_5301,0
WR18_80252,0
WR18_5399,0
WR18_5431,5
WR18_5460,0
WR18_5463,12
WR18_5491,2
WR18_7017,0
WR18_7031,0
WR18_7057,0
WR18_7064,15
WR18_7030,0
WR18_7078,0
WR18_80195,2
WR18_7113,5
WR18_7119,0
WR18_7142,0
WR18_7195,0
WR18_7202,4
WR18_7215,4
WR18_7223,0
WR18_7298,0
WR18_7359,4
WR18_7361,0
WR18_7395,0
WR18_7412,18
WR18_80250,6
WR18_7426,13
WR18_7462,0
WR18_5379,0
WR18_80037,0
WR18_80162,0
WR18_5004,0
WR18_5005,0
WR18_5046,0
WR18_5069,0
WR18_5099,17
WR18_5108,0
WR18_5117,17
WR18_5179,11
WR18_5124,0
WR18_5181,16
WR18_5189,0
WR18_5234,8
WR18_5238,0
WR18_5308,0
WR18_5313,0
WR18_5331,0
WR18_5351,0
WR18_5353,19
WR18_5356,0
WR18_5436,0
WR18_5455,0
WR18_5456,0
WR18_5457,0
WR18_7027,12
WR18_7071,2
WR18_7094,0
WR18_7099,3
WR18_7101,0
WR18_7114,5
WR18_7117,0
WR18_7137,0
WR18_7157,0
WR18_7170,0
WR18_7173,0
WR18_7203,0
WR18_7205,0
WR18_7219,0
WR18_7243,0
WR18_7245,0
WR18_7305,5
WR18_7390,0
WR18_7399,0
WR18_7425,0
WR18_7442,0
WR18_7453,0
WR18_7465,0
WR18_7466,0
WR18_7475,0
WR18_7495,0
WR18_7497,2
WR18_80082,0
WR18_80119,0
WR18_80158,3
WR18_80190,0
WR18_80199,0
WR18_80205,0
WR18_80220,2
WR18_80244,0
WR18_80328,0
