Sample_ID,Distance_um,Sr8786_norm,SrV,SrV notes,Escap_yr
WR18_7083,0,0.708166708,5.3455,,2018
WR18_7083,40,0.708272207,5.645244444,,2018
WR18_7083,80,0.708168577,5.323244444,,2018
WR18_7083,120,0.70812116,5.32785,,2018
WR18_7083,160,0.707592774,5.170322222,,2018
WR18_7083,200,0.707131813,4.640522222,,2018
WR18_7083,240,0.705793069,3.3499625,,2018
WR18_7083,280,0.704961629,2.813577778,,2018
WR18_7083,320,0.704934261,2.646444444,,2018
WR18_7083,360,0.70502061,2.4940625,,2018
WR18_7083,400,0.704963667,2.377666667,,2018
WR18_7083,440,0.704817266,2.568077778,,2018
WR18_7083,480,0.70504586,2.727155556,,2018
WR18_7083,520,0.704956913,2.5165375,,2018
WR18_7083,560,0.704848496,2.553844444,,2018
WR18_7083,600,0.704912032,2.556733333,,2018
WR18_7083,640,0.704522328,2.89885,,2018
WR18_7083,680,0.704970681,3.376111111,,2018
WR18_7083,720,0.708155644,6.012455556,,2018
WR18_7083,760,0.708801633,6.4185125,,2018
WR18_7083,840,0.709022131,6.890966667,,2018
WR18_7083,880,0.709059227,7.188144444,,2018
WR18_7083,920,0.70899071,7.0109,,2018
EE19_7016,0,0.707547954,3.20595,,2019
EE19_7016,40,0.707599773,3.0528,,2019
EE19_7016,80,0.707406762,3.202175,,2019
EE19_7016,120,0.707003145,3.3451125,,2019
EE19_7016,160,0.706155929,3.055,,2019
EE19_7016,200,0.705755714,2.929725,,2019
EE19_7016,240,0.705093619,3.2121,,2019
EE19_7016,280,0.705007658,2.85975,,2019
EE19_7016,320,0.705012993,2.403075,,2019
EE19_7016,360,0.70535015,2.2005875,,2019
EE19_7016,400,0.705192794,2.2818125,,2019
EE19_7016,440,0.70447719,2.8518625,,2019
EE19_7016,480,0.70427942,3.290671429,,2019
EE19_7016,520,0.704216288,3.7208375,,2019
EE19_7016,560,0.704050482,4.138775,,2019
EE19_7016,600,0.704316886,4.2002,,2019
EE19_7016,640,0.705158369,3.839825,,2019
EE19_7016,680,0.707484036,4.684675,,2019
EE19_7016,720,0.708459693,5.981942857,,2019
EE19_7016,760,0.708685711,6.2697375,,2019
EE19_7016,840,0.709030273,6.340725,,2019
